date,open,high,low,close,volume
2021-10-22 09:35:00+05:30,38.6,38.6,38.6,38.6,0
2021-10-22 09:40:00+05:30,38.6,38.6,38.6,38.6,1000
2021-10-22 09:45:00+05:30,38.6,38.6,38.6,38.6,0
2021-10-22 09:50:00+05:30,38.6,38.6,38.6,38.6,0
2021-10-22 10:00:00+05:30,38.6,38.6,38.6,38.6,0
2021-10-22 10:05:00+05:30,38.6,38.6,38.6,38.6,0
2021-10-22 10:20:00+05:30,38.6,38.6,38.6,38.6,0
2021-10-22 10:25:00+05:30,38.6,38.6,38.6,38.6,0
2021-10-22 10:30:00+05:30,38.6,38.6,38.6,38.6,0
2021-10-22 10:35:00+05:30,38.6,38.6,38.6,38.6,0
2021-10-22 10:40:00+05:30,38.6,38.6,38.6,38.6,0
2021-10-22 10:45:00+05:30,38.6,38.6,38.6,38.6,0
2021-10-22 10:55:00+05:30,38.6,38.6,38.6,38.6,0
2021-10-22 11:20:00+05:30,38.6,38.6,38.6,38.6,0
2021-10-22 11:25:00+05:30,38.6,38.6,38.6,38.6,0
2021-10-22 11:35:00+05:30,38.6,38.6,38.6,38.6,0
2021-10-22 11:40:00+05:30,38.6,38.6,38.6,38.6,500
2021-10-22 11:45:00+05:30,38.6,38.6,38.6,38.6,0
2021-10-22 12:00:00+05:30,38.6,38.6,38.6,38.6,0
2021-10-22 12:05:00+05:30,38.6,38.6,38.6,38.6,0
2021-10-22 12:10:00+05:30,38.6,38.6,38.6,38.6,0
2021-10-22 12:15:00+05:30,38.6,38.6,38.6,38.6,0
2021-10-22 12:30:00+05:30,38.6,38.6,38.6,38.6,0
2021-10-22 12:50:00+05:30,38.6,38.6,38.6,38.6,0
2021-10-22 12:55:00+05:30,38.6,38.6,38.6,38.6,0
2021-10-22 13:00:00+05:30,38.6,38.6,38.6,38.6,0
2021-10-22 13:15:00+05:30,38.6,38.6,38.6,38.6,0
2021-10-22 13:20:00+05:30,38.6,38.6,38.6,38.6,0
2021-10-22 13:35:00+05:30,38.6,38.6,38.6,38.6,0
2021-10-22 13:50:00+05:30,38.6,38.6,38.6,38.6,0
2021-10-22 13:55:00+05:30,38.6,38.6,38.6,38.6,0
2021-10-22 14:00:00+05:30,38.6,38.6,38.6,38.6,0
2021-10-22 14:05:00+05:30,38.6,38.6,38.6,38.6,0
2021-10-22 14:45:00+05:30,38.6,38.6,38.6,38.6,0
2021-10-22 14:50:00+05:30,38.6,38.6,38.6,38.6,0
2021-10-22 14:55:00+05:30,38.6,38.6,38.6,38.6,0
2021-10-22 15:00:00+05:30,38.6,38.6,38.6,38.6,0
2021-10-22 15:10:00+05:30,38.6,38.6,38.6,38.6,0
2021-10-22 15:20:00+05:30,38.6,38.6,38.6,38.6,0
2021-10-22 15:25:00+05:30,38.6,38.6,38.6,38.6,0
2021-10-25 09:15:00+05:30,40.5,40.5,40.5,40.5,0
2021-10-25 09:20:00+05:30,40.5,40.5,40.5,40.5,0
2021-10-25 09:25:00+05:30,40.5,40.5,40.5,40.5,0
2021-10-25 09:35:00+05:30,40.5,40.5,40.5,40.5,0
2021-10-25 09:40:00+05:30,40.5,40.5,40.5,40.5,0
2021-10-25 09:45:00+05:30,40.5,40.5,40.5,40.5,0
2021-10-25 09:50:00+05:30,40.5,40.5,40.5,40.5,0
2021-10-25 09:55:00+05:30,40.5,40.5,40.5,40.5,0
2021-10-25 10:00:00+05:30,40.5,40.5,40.5,40.5,0
2021-10-25 10:05:00+05:30,40.5,40.5,40.5,40.5,0
2021-10-25 10:10:00+05:30,40.5,40.5,40.5,40.5,0
2021-10-25 10:15:00+05:30,40.5,40.5,40.5,40.5,0
2021-10-25 10:20:00+05:30,40.5,40.5,40.5,40.5,0
2021-10-25 10:35:00+05:30,40.5,40.5,40.5,40.5,0
2021-10-25 10:50:00+05:30,40.5,40.5,40.5,40.5,0
2021-10-25 10:55:00+05:30,40.5,40.5,40.5,40.5,2000
2021-10-25 11:05:00+05:30,40.5,40.5,40.5,40.5,0
2021-10-25 11:10:00+05:30,40.5,40.5,40.5,40.5,0
2021-10-25 11:15:00+05:30,40.5,40.5,40.5,40.5,0
2021-10-25 11:20:00+05:30,40.5,40.5,40.5,40.5,0
2021-10-25 11:25:00+05:30,40.5,40.5,40.5,40.5,0
2021-10-25 11:30:00+05:30,40.5,40.5,40.5,40.5,0
2021-10-25 11:35:00+05:30,40.5,40.5,40.5,40.5,0
2021-10-25 11:40:00+05:30,40.5,40.5,40.5,40.5,0
2021-10-25 11:45:00+05:30,40.5,40.5,40.5,40.5,0
2021-10-25 11:50:00+05:30,40.5,40.5,40.5,40.5,0
2021-10-25 11:55:00+05:30,40.5,40.5,40.5,40.5,0
2021-10-25 12:00:00+05:30,40.5,40.5,40.5,40.5,0
2021-10-25 12:10:00+05:30,40.5,40.5,40.5,40.5,0
2021-10-25 12:20:00+05:30,40.5,40.5,40.5,40.5,0
2021-10-25 12:30:00+05:30,40.5,40.5,40.5,40.5,0
2021-10-25 12:40:00+05:30,40.5,40.5,40.5,40.5,0
2021-10-25 12:55:00+05:30,40.5,40.5,40.5,40.5,0
2021-10-25 13:00:00+05:30,40.5,40.5,40.5,40.5,0
2021-10-25 13:15:00+05:30,40.5,40.5,40.5,40.5,0
2021-10-25 13:50:00+05:30,40.5,40.5,40.5,40.5,0
2021-10-25 13:55:00+05:30,40.5,40.5,40.5,40.5,0
2021-10-25 14:30:00+05:30,40.5,40.5,40.5,40.5,0
2021-10-25 15:25:00+05:30,40.5,40.5,40.5,40.5,0
2021-10-26 09:15:00+05:30,42.5,42.5,42.5,42.5,2700
2021-10-26 09:20:00+05:30,42.5,42.5,42.0,42.5,856
2021-10-26 09:25:00+05:30,42.5,42.5,42.5,42.5,8696
2021-10-26 09:30:00+05:30,42.5,42.5,42.35,42.35,3010
2021-10-26 09:35:00+05:30,42.35,42.35,41.65,41.65,952
2021-10-26 09:40:00+05:30,41.65,42.3,41.55,42.2,294
2021-10-26 09:45:00+05:30,42.2,42.3,42.2,42.3,119
2021-10-26 09:50:00+05:30,42.3,42.3,40.6,40.6,14348
2021-10-26 09:55:00+05:30,40.5,42.0,40.3,42.0,5613
2021-10-26 10:00:00+05:30,42.0,42.0,41.9,41.9,103
2021-10-26 10:05:00+05:30,41.9,42.4,41.5,42.4,3011
2021-10-26 10:10:00+05:30,42.4,42.4,42.35,42.35,568
2021-10-26 10:15:00+05:30,42.35,42.4,42.35,42.4,1234
2021-10-26 10:20:00+05:30,42.4,42.5,42.4,42.5,3958
2021-10-26 10:25:00+05:30,42.5,42.5,42.5,42.5,301
2021-10-26 10:30:00+05:30,42.5,42.5,42.45,42.5,787
2021-10-26 10:35:00+05:30,42.5,42.5,42.5,42.5,300
